"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$aS8szuAFZiPdq18j$f1bdb345d0f7a75ddda559d9b7bde7c89db80e1e14e727ff2daf2cde99593097","Gary","Cross","MIT"
"1","martha10@hotmail.com","pbkdf2:sha256:260000$SH7yx7JnCTp7xfY5$2654594c840c00af4f88518f1a43b2fbfbdd602b26e9c11591b33ddca5baed9e","Denise","Thornton","Harvard"
"2","deborah64@gmail.com","pbkdf2:sha256:260000$krSoJrJc8gGfvLb2$4847e9056a68e43ead863edfa33bb11d893ca190944eec00608d2805639e421c","Jeanne","Green","Harvard"
"3","franklinjames@yahoo.com","pbkdf2:sha256:260000$lnIvy1v7gdpT7Crx$017832e1286dc48ac915ea0fc03d247a9612e6d29b0ca889400018133741a9f9","John","Hoffman","MIT"
"4","samanthasims@yahoo.com","pbkdf2:sha256:260000$IB83BkhHUUA4HFY2$f8937c787b3591ee9f7092195d7b6420a2cb3406999d0a42177119ef31f389e6","Timothy","Parker","Harvard"
"5","taguilar@hotmail.com","pbkdf2:sha256:260000$Wngr4OujoFrp6oEX$5c586914e6ef9f095fbb83dd6d5f951f61b70a10784f5345e1299535a6c0939d","Linda","Freeman","Princeton"
"6","georgedavid@yahoo.com","pbkdf2:sha256:260000$LEUCAlOKsiiDQbnr$992a68cf0f6ce2636a82c5b91e1dfcd5277636050e8cb2ab59ebf55977eca3b9","Sandra","Brown","Duke"
"7","chad50@yahoo.com","pbkdf2:sha256:260000$agVDSiLvjCD6dbMI$6fba8f57ebb6e474207e6d16c468b608e1d7ff15c4b4553f6fbf57016706d19e","Paula","Wilkerson","Harvard"
"8","jyang@hotmail.com","pbkdf2:sha256:260000$hxSvGZBnm14I70B8$da976363478afc1e5f898f83ec29877d9c6dbe04ffbbdac7051f9b86092530f1","Willie","Garcia","MIT"
"9","bramirez@gmail.com","pbkdf2:sha256:260000$giGUhrYb8vxuBjFk$62608996ab46a54205d17f89f3f6eb0719b3f144864f463e2528887a4a2964e1","Michael","Montgomery","Stanford"
"10","kellypeter@gmail.com","pbkdf2:sha256:260000$f8WFcMa5L0FHXhjY$04cb79ea738e6efd1b6066c24d218350edd952bf648f8206f52eb7caee637cd1","Melissa","James","Duke"
"11","tarasanders@gmail.com","pbkdf2:sha256:260000$6c0SlWa4orxFOoh8$28c620fadecceb05cc3e457bfbb49c18fcd684768c88c75f2e29f34fbeeaa20e","Lisa","Bush","Harvard"
"12","virginia18@yahoo.com","pbkdf2:sha256:260000$fqsIy6v0dSQPtO9g$aa3648c5e7da7d0fd8cfdf8316463335cd92c42fadb7ee10c6cb9accb185e6e7","Bruce","Miller","Harvard"
"13","jensenanthony@hotmail.com","pbkdf2:sha256:260000$kVyzgdmhDtOKoHlL$8f600a6e5ef786fb2157cf4806d663dfc1e57d4d2c050a9627698474d54d7edf","Mark","Burnett","Harvard"
"14","kmalone@gmail.com","pbkdf2:sha256:260000$SHeiXmqrEM26c5Wo$f30cbf1b8a07bbd9204276dd6c49a9f09086eef0201fbcff0d18ee64d6e070cc","Courtney","Valdez","Harvard"
"15","kingerin@hotmail.com","pbkdf2:sha256:260000$2HUYTNVG0UC7akZ8$0ebb7f00d8da045b6a7b1f5eb3e9fec3d50a7e734405760ea60eed1f9e36bf1e","Henry","Moss","Stanford"
"16","meganbrady@gmail.com","pbkdf2:sha256:260000$pcXHspQ5fZQe2orM$7f3dffb41190121ba1fcb5e73bd2b6993bff34898f11163366cc06b78073aa4f","Amy","Fowler","Stanford"
"17","kgomez@gmail.com","pbkdf2:sha256:260000$QP3oslSMo76IlyB9$f11f977ccd934e1ea17f9fb63a4633930426926c64a1f99724fdda81fb25e860","Tammy","Reilly","MIT"
"18","thomaspeters@hotmail.com","pbkdf2:sha256:260000$98sNDo4rZgpHxDB4$9d379dca93f8da804f9ff596d28cf69676632b2ec0c62fd4def1132b2e8f425a","Robin","Harris","Stanford"
"19","susan06@yahoo.com","pbkdf2:sha256:260000$2wQ0A0YTk6dvdpxK$816b9e1414d7e39ae2127fbe9fc2e487c03413a20f1d01a7ff5ef14841ecabd1","Jared","Vaughn","Stanford"
"20","william86@gmail.com","pbkdf2:sha256:260000$goNyF2MP7jPBzb5W$8d55c18ce1d34ff8b38f2f3440c791bc6b7b5a88d3db4805019b71792301d591","Lauren","Mcdaniel","Duke"
"21","michaelanderson@hotmail.com","pbkdf2:sha256:260000$ktlvyOsatIDhqvWJ$447ac1561b50e68becfa7f6ecf3f6db5e458352e4494dacc8d1e5f2d78351458","Brian","Richardson","Stanford"
"22","deleonwilliam@gmail.com","pbkdf2:sha256:260000$e24yNaliJR5jQkvr$d0cd3e832df5b25ec39ec94d0b218adef8746b6979cc7c43c16a06c1aa158086","Maria","Harris","Stanford"
"23","joshua07@yahoo.com","pbkdf2:sha256:260000$aOqjhYllWT0yUgAm$a9af090f2d55b64b09d7fe3b91d63d4dd8b9006e0714aa12a276729b6520d292","Heather","Davis","Duke"
"24","leonardsutton@gmail.com","pbkdf2:sha256:260000$3ChWt75MeiIE0wlP$3d77565dc590356e10e2cd89e79fb04f5755298dca76ccfaa99ff78125160d84","Patrick","Spears","Harvard"
"25","hromero@hotmail.com","pbkdf2:sha256:260000$eQ8lKDnWKiHEkebf$ae4aa11e3f4cbe65d3e993d6c0159e0bb20163b45bf7a71f11ed3ddbd4350907","Debra","Aguilar","Harvard"
"26","angela30@gmail.com","pbkdf2:sha256:260000$Qwy7qNVtDY0zE89I$fc6e847f84d5d27c39ce4252638f175bd9cdae6d5a116b7a58dd675af43c4c7d","Cody","Crawford","Stanford"
"27","ygraham@hotmail.com","pbkdf2:sha256:260000$nVnNTVZK7XEwLmZn$5dd4c773d2cdc97c92513f1633d3c47a147105de3f7134d3cbb0d2356c437d38","Cynthia","Faulkner","Harvard"
"28","millerlori@yahoo.com","pbkdf2:sha256:260000$Qr36EJKQTnC6edTK$37299cc0ed0aa2f8df2135a1aac6f1b9c24754024f61f9c63ada7bbc60b00622","Kelly","Casey","Harvard"
"29","pmartinez@yahoo.com","pbkdf2:sha256:260000$SGCrp08NcPCznQ0m$0ba5c15526689531d3f808449827bee5f543ebc3e0043d24f6d11e83a8055d7b","Thomas","Patel","Duke"
"30","stafforderic@gmail.com","pbkdf2:sha256:260000$kXI4IA8cOBOaZyaR$b4d44375417ae05765883ebb4cba677ac92db9a3e6b88b3ccd4177b31be6fa55","Johnny","Martinez","Harvard"
